speaker_id,f0_mean,f0_range,loudness,speech_rate,voice_quality
Ses02F_impro01_F,38.026676177978516,24.152999877929688,0.8234885334968567,505.7238464355469,115.7308349609375
Ses02F_impro01_M,27.80834197998047,19.206357955932617,0.7939777374267578,472.9998474121094,109.33013916015625
Ses02F_impro02_F,37.58113479614258,22.136056900024414,0.9096909165382385,507.33319091796875,115.62709045410156
Ses02F_impro02_M,26.04850959777832,16.9002742767334,0.8079723715782166,475.33941650390625,112.07695770263672
Ses02F_impro03_F,39.97150802612305,26.684932708740234,0.8840110898017883,496.3536682128906,114.75826263427734
Ses02F_impro03_M,30.26284408569336,20.240503311157227,0.8318686485290527,472.8747863769531,109.38204193115234
Ses02F_impro04_M,25.13006591796875,16.764339447021484,0.8045097589492798,470.6318359375,108.31419372558594
Ses02F_impro04_F,36.57931137084961,22.928455352783203,0.7216331958770752,503.4559020996094,115.17964935302734
Ses02F_impro05_F,37.968196868896484,24.973478317260742,0.8768094778060913,505.0301818847656,114.89703369140625
Ses02F_impro05_M,25.153289794921875,17.551179885864258,0.8265947103500366,467.81982421875,108.38687133789062
Ses02F_impro06_M,21.90511703491211,14.761914253234863,0.6720819473266602,473.1573181152344,110.867431640625
Ses02F_impro06_F,39.49994659423828,23.877758026123047,0.7332370281219482,504.9097595214844,114.90833282470703
Ses02F_impro07_M,30.54805564880371,23.09272575378418,0.6817525029182434,473.1424560546875,109.72581481933594
Ses02F_impro07_F,37.365638732910156,24.870969772338867,0.7883304357528687,499.0052795410156,115.60765075683594
Ses02F_impro08_F,36.03095626831055,23.232637405395508,0.7543172240257263,499.3014831542969,114.69046783447266
Ses02F_impro08_M,25.155384063720703,16.813173294067383,0.7444524168968201,461.51385498046875,106.7889633178711
Ses02F_script01_2_F,38.8217658996582,23.7775821685791,1.0020151138305664,506.672119140625,116.68971252441406
Ses02F_script01_2_M,29.252653121948242,24.234176635742188,0.9276062846183777,480.1554260253906,110.10945129394531
Ses02F_script01_3_F,36.74208450317383,21.150531768798828,0.7659962177276611,506.34393310546875,114.99451446533203
